size,cpus,time
7000,10,299.3669971
100,16,0.0063864
200,16,0.006242
400,16,0.0123243
800,16,0.0881512
1600,16,0.8502302
1200,16,1.7362627
1000,16,2.2192516
1400,16,4.8810023
2000,16,10.8973032
2600,16,26.1372707
3000,16,37.6592372
3600,16,79.0720237
4000,16,102.5783804
5000,16,169.6950146
6000,16,235.5415702
7000,16,282.770257
100,8,0.0029073
200,8,0.0030065
400,8,0.0175098
800,8,0.1163799
1000,8,0.7762448
1200,8,1.3651388
1600,8,2.2074123
1400,8,1.9723377
2000,8,9.103777
2600,8,23.6741935
3000,8,51.4677852
3600,8,81.4804759
4000,8,106.6685061
5000,8,188.2332181
6000,8,247.940919
7000,8,307.5856095
100,1,0.0012312
200,1,0.010948
400,1,0.0915478
800,1,0.7610577
1000,1,1.5878176
1200,1,2.8796505
1400,1,5.0089849
1600,1,7.4441964
2000,1,15.5359122
2600,1,46.3077087
3000,1,76.9941668
3600,1,124.5726821
4000,1,167.9196949
5000,1,351.9448114
6000,1,603.8600212
7000,1,1065.495607
100,2,0.001198
200,2,0.0059824
400,2,0.0466663
800,2,0.5092464
1000,2,0.9182489
1200,2,1.6790996
1400,2,3.1904265
1600,2,6.1344588
2000,2,10.7721496
2600,2,35.5774859
3000,2,53.4465572
3600,2,88.6082018
4000,2,114.4084364
5000,2,213.4734554
6000,2,346.3132236
7000,2,578.9516637
100,4,0.0018939
200,4,0.0060454
400,4,0.0268364
800,4,0.2337735
1000,4,0.5242709
1200,4,1.0229623
1400,4,2.1855348
1600,4,4.3756441
2000,4,11.4104408
2600,4,35.1107988
3000,4,56.9456159
3600,4,90.9774478
4000,4,113.1994102
5000,4,173.1599272
6000,4,260.9390169
7000,4,374.4335147
100,8,0.002386
200,8,0.0053961
400,8,0.0129614
800,8,0.4462731
1000,8,0.6953385
1400,8,0.9437577
1200,8,0.5483526
1600,8,5.2565452
2000,8,8.2315343
2600,8,39.1088798
3000,8,56.0953944
3600,8,92.1963369
4000,8,114.7621645
5000,8,176.979004
6000,8,254.8259949
7000,8,309.1409692
100,10,0.0040677
200,10,0.0049317
400,10,0.1696803
800,10,0.2311366
1400,10,0.816358
1000,10,3.3361125
1200,10,4.0973076
2000,10,7.3112201
1600,10,6.6918348
2600,10,23.0054965
3000,10,48.0310224
3600,10,83.408833
4000,10,109.28157
5000,10,185.8196368
6000,10,251.7273392
7000,10,298.4015092
100,16,0.0038469
200,16,0.0104621
400,16,0.0115809
1600,16,1.146609
800,16,6.3507317
1400,16,8.1506448
1000,16,12.2924386
1200,16,12.4828108
2600,16,20.4050426
2000,16,22.8214715
3000,16,48.8246435
3600,16,91.3146241
4000,16,110.0160363
5000,16,176.497306
6000,16,248.3444225
7000,16,289.6534571
100,10,0.002045
200,10,0.0032319
400,10,0.0120312
1000,10,1.1012524
800,10,1.6051239
1200,10,1.8781657
1400,10,2.7734533
1600,10,4.9090434
2000,10,7.8285918
2600,10,22.7257965
3000,10,56.145516
3600,10,85.1662955
4000,10,108.7811926
5000,10,179.6582698
6000,10,251.1298245
7000,10,305.2832235
100,1,0.0014138
200,1,0.0112764
400,1,0.0917204
800,1,0.8169116
1000,1,1.5375297
1200,1,2.9007905
1400,1,5.2458984
1600,1,8.3131529
2000,1,17.1651021
2600,1,50.9574635
3000,1,84.2911503
3600,1,132.8509791
4000,1,174.6561308
5000,1,361.888377
6000,1,597.9327145
7000,1,1071.190225
100,2,0.001575
200,2,0.0061545
400,2,0.0473908
800,2,0.3806036
1000,2,0.8838973
1200,2,1.5545847
1400,2,2.9894115
1600,2,5.6482841
2000,2,14.4697801
2600,2,37.761368
3000,2,56.1709058
3600,2,89.1442411
4000,2,112.427288
5000,2,212.5606999
6000,2,340.3427714
7000,2,579.764348
100,4,0.0015031
200,4,0.0033774
400,4,0.0241927
800,4,0.1932883
1000,4,0.3904778
1400,4,2.6128793
1200,4,1.9265357
1600,4,4.87733
2000,4,12.9138424
2600,4,37.4314244
3000,4,59.5692065
3600,4,93.4279864
4000,4,112.9214327
5000,4,183.8024081
6000,4,260.3394056
7000,4,372.7945243
100,8,0.0025567
200,8,0.00403
400,8,0.0143829
800,8,0.103742
1000,8,0.2325169
1200,8,0.3755946
1400,8,1.1490952
1600,8,2.8681919
2000,8,9.2280501
2600,8,30.6939005
3000,8,49.9994335
3600,8,89.9874959
4000,8,113.7272638
5000,8,198.1941616
6000,8,249.4741963
7000,8,308.9851285
100,10,0.0028899
200,10,0.0039189
400,10,0.0119717
800,10,0.1068989
1000,10,0.2544334
1400,10,0.8132193
1200,10,2.6202448
1600,10,5.534882
2000,10,11.2082454
2600,10,23.5942883
3000,10,52.850845
3600,10,78.2610357
4000,10,102.1796767
5000,10,179.2145462
6000,10,248.0640357
7000,10,301.2851459
100,16,0.0034117
200,16,0.0036044
400,16,0.0142314
800,16,0.102968
1000,16,0.1658854
1400,16,2.6832599
2000,16,3.9252949
1600,16,3.6195666
1200,16,8.7116804
2600,16,38.0363491
3000,16,47.8024078
3600,16,85.5441647
4000,16,111.9345474
5000,16,181.5678742
6000,16,240.6706757
7000,16,285.7984739
100,16,0.0034168
400,16,0.0113477
200,16,0.0037896
1000,16,0.1645386
1200,16,0.8948478
1400,16,1.3250375
800,16,1.4333155
1600,16,3.7490621
2000,16,9.3746758
2600,16,24.5707723
3000,16,46.9152015
3600,16,80.8132913
4000,16,106.0910586
5000,16,172.2129108
6000,16,236.2190422
7000,16,283.4367682
100,1,0.0015749
200,1,0.0112591
400,1,0.0976537
800,1,0.7840723
1000,1,1.6068804
1200,1,2.8720268
1400,1,5.2478737
1600,1,7.7134682
2000,1,16.1730908
2600,1,49.44984
3000,1,79.6861648
3600,1,130.8961884
4000,1,173.8308954
5000,1,354.1612324
6000,1,608.1824304
7000,1,1067.461806
100,2,0.0015101
200,2,0.0058824
400,2,0.0471154
800,2,0.3979335
1200,2,1.4089462
1000,2,0.8871081
1400,2,3.2154471
1600,2,4.6888718
2000,2,14.1454723
2600,2,36.4402378
3000,2,55.1079701
3600,2,91.5547222
4000,2,117.8214327
5000,2,213.9644325
6000,2,351.1440557
7000,2,582.7361153
100,4,0.0017357
200,4,0.004202
400,4,0.0264057
1000,4,0.4179584
800,4,0.214894
1200,4,0.9951374
1400,4,3.5857992
1600,4,5.3745924
2000,4,11.7469663
2600,4,34.7630899
3000,4,51.6546278
3600,4,86.2870285
4000,4,109.6822764
5000,4,182.7866735
6000,4,263.4283178
7000,4,373.892912
100,8,0.002397
200,8,0.0056995
400,8,0.014812
1000,8,0.2256147
1200,8,0.4608655
800,8,0.426451
1400,8,1.5857288
1600,8,1.8952164
2600,8,26.6390937
2000,8,18.1247325
3000,8,49.0950593
3600,8,86.3220592
4000,8,110.2457438
5000,8,180.2265793
6000,8,248.2767461
7000,8,309.8888752
100,10,0.0028305
200,10,0.0045667
400,10,0.0122381
1200,10,0.2762941
800,10,0.7179035
1000,10,1.0964062
1600,10,1.9285826
1400,10,2.0144971
2000,10,11.3762224
2600,10,21.9350028
3000,10,53.9117939
3600,10,78.3344124
4000,10,102.1069989
5000,10,181.1247872
6000,10,248.4872426
7000,10,302.6304275
100,16,0.0037026
200,16,0.0055242
800,16,0.0865962
400,16,0.0130337
1000,16,0.9157113
1200,16,1.5435233
1600,16,5.3784819
1400,16,5.1027588
2000,16,12.3019953
2600,16,19.6169465
3000,16,38.1391743
3600,16,78.5933719
4000,16,102.2014196
5000,16,172.5668847
6000,16,236.5477896
